year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,delay_rate,cancel_rate,total_delay_minutes,period
2022,7,9E,Endeavor Air Inc.,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",33.0,2.0,0.92,1.0,0.08,0.0,0.0,0.0,0.0,129.0,98.0,23.0,8.0,0.0,0.0,0.06060606060606061,0.0,129.0,2022-07-01
2022,7,9E,Endeavor Air Inc.,ABY,"Albany, GA: Southwest Georgia Regional",78.0,25.0,11.8,0.72,5.01,0.0,7.48,0.0,0.0,1664.0,887.0,52.0,224.0,0.0,501.0,0.32051282051282054,0.0,1664.0,2022-07-01
2022,7,9E,Endeavor Air Inc.,ACK,"Nantucket, MA: Nantucket Memorial",124.0,19.0,5.84,1.0,6.76,0.0,5.4,5.0,4.0,1523.0,388.0,35.0,511.0,0.0,589.0,0.1532258064516129,0.04032258064516129,1523.0,2022-07-01
2022,7,9E,Endeavor Air Inc.,AEX,"Alexandria, LA: Alexandria International",67.0,10.0,1.32,1.0,2.4,1.0,4.28,0.0,1.0,657.0,103.0,82.0,93.0,25.0,354.0,0.14925373134328357,0.0,657.0,2022-07-01
2022,7,9E,Endeavor Air Inc.,AGS,"Augusta, GA: Augusta Regional at Bush Field",174.0,30.0,18.1,5.75,3.6,0.0,2.55,1.0,0.0,2462.0,1686.0,310.0,139.0,0.0,327.0,0.1724137931034483,0.005747126436781609,2462.0,2022-07-01
2022,7,9E,Endeavor Air Inc.,ALB,"Albany, NY: Albany International",114.0,16.0,3.7,1.82,2.33,0.0,8.15,5.0,0.0,1145.0,131.0,207.0,64.0,0.0,743.0,0.14035087719298245,0.043859649122807015,1145.0,2022-07-01
2022,7,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2219.0,470.0,111.62,23.02,129.81,0.0,205.56,8.0,10.0,41843.0,18321.0,1554.0,7029.0,0.0,14939.0,0.2118071203244705,0.003605227579990987,41843.0,2022-07-01
2022,7,9E,Endeavor Air Inc.,ATW,"Appleton, WI: Appleton International",17.0,3.0,1.69,0.0,1.31,0.0,0.0,0.0,0.0,73.0,43.0,0.0,30.0,0.0,0.0,0.17647058823529413,0.0,73.0,2022-07-01
2022,7,9E,Endeavor Air Inc.,AUS,"Austin, TX: Austin - Bergstrom International",37.0,4.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,301.0,279.0,22.0,0.0,0.0,0.0,0.10810810810810811,0.08108108108108109,301.0,2022-07-01
2022,7,9E,Endeavor Air Inc.,AVL,"Asheville, NC: Asheville Regional",59.0,13.0,3.82,1.0,6.0,0.0,2.18,7.0,0.0,630.0,195.0,20.0,321.0,0.0,94.0,0.22033898305084745,0.11864406779661017,630.0,2022-07-01
2022,7,9E,Endeavor Air Inc.,AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International",70.0,10.0,7.93,1.0,1.0,0.0,0.07,0.0,1.0,477.0,392.0,64.0,15.0,0.0,6.0,0.14285714285714285,0.0,477.0,2022-07-01
2022,7,9E,Endeavor Air Inc.,BGM,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field",31.0,6.0,2.47,0.0,2.53,0.0,1.0,0.0,0.0,219.0,150.0,0.0,51.0,0.0,18.0,0.1935483870967742,0.0,219.0,2022-07-01
2022,7,9E,Endeavor Air Inc.,BGR,"Bangor, ME: Bangor International",183.0,33.0,13.06,0.11,8.45,0.0,11.38,22.0,0.0,2615.0,633.0,22.0,974.0,0.0,986.0,0.18032786885245902,0.12021857923497267,2615.0,2022-07-01
2022,7,9E,Endeavor Air Inc.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",54.0,12.0,4.58,0.97,4.62,0.0,1.83,8.0,0.0,724.0,151.0,283.0,217.0,0.0,73.0,0.2222222222222222,0.14814814814814814,724.0,2022-07-01
2022,7,9E,Endeavor Air Inc.,BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",26.0,5.0,2.28,0.0,1.72,0.0,1.0,0.0,0.0,122.0,48.0,0.0,48.0,0.0,26.0,0.19230769230769232,0.0,122.0,2022-07-01
2022,7,9E,Endeavor Air Inc.,BNA,"Nashville, TN: Nashville International",214.0,56.0,18.94,2.81,20.68,0.0,13.57,23.0,0.0,3797.0,1286.0,302.0,1125.0,0.0,1084.0,0.2616822429906542,0.10747663551401869,3797.0,2022-07-01
2022,7,9E,Endeavor Air Inc.,BOS,"Boston, MA: Logan International",344.0,72.0,22.11,1.94,20.21,0.0,27.74,21.0,0.0,7217.0,3628.0,119.0,1011.0,0.0,2459.0,0.20930232558139536,0.061046511627906974,7217.0,2022-07-01
2022,7,9E,Endeavor Air Inc.,BQK,"Brunswick, GA: Brunswick Golden Isles",88.0,13.0,6.09,0.66,2.13,0.0,4.12,0.0,1.0,846.0,276.0,136.0,40.0,0.0,394.0,0.14772727272727273,0.0,846.0,2022-07-01
2022,7,9E,Endeavor Air Inc.,BTV,"Burlington, VT: Burlington International",176.0,31.0,16.58,2.0,6.5,0.0,5.92,14.0,0.0,1344.0,773.0,81.0,199.0,0.0,291.0,0.17613636363636365,0.07954545454545454,1344.0,2022-07-01
2022,7,9E,Endeavor Air Inc.,BUF,"Buffalo, NY: Buffalo Niagara International",177.0,24.0,8.62,1.4,8.53,0.0,5.45,14.0,0.0,1433.0,758.0,105.0,345.0,0.0,225.0,0.13559322033898305,0.07909604519774012,1433.0,2022-07-01
2022,7,9E,Endeavor Air Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",111.0,21.0,7.47,0.0,6.59,0.0,6.94,11.0,0.0,1705.0,417.0,0.0,778.0,0.0,510.0,0.1891891891891892,0.0990990990990991,1705.0,2022-07-01
2022,7,9E,Endeavor Air Inc.,CAE,"Columbia, SC: Columbia Metropolitan",29.0,14.0,1.16,0.68,8.0,0.0,4.16,1.0,0.0,1218.0,60.0,506.0,282.0,0.0,370.0,0.4827586206896552,0.034482758620689655,1218.0,2022-07-01
2022,7,9E,Endeavor Air Inc.,CHA,"Chattanooga, TN: Lovell Field",116.0,30.0,11.04,0.41,8.85,0.0,9.7,0.0,1.0,1928.0,1076.0,17.0,347.0,0.0,488.0,0.25862068965517243,0.0,1928.0,2022-07-01
2022,7,9E,Endeavor Air Inc.,CHO,"Charlottesville, VA: Charlottesville Albemarle",139.0,31.0,7.85,1.62,14.06,0.0,7.47,5.0,1.0,1747.0,455.0,242.0,564.0,0.0,486.0,0.22302158273381295,0.03597122302158273,1747.0,2022-07-01
2022,7,9E,Endeavor Air Inc.,CHS,"Charleston, SC: Charleston AFB/International",216.0,40.0,10.23,1.25,13.66,0.0,14.86,13.0,3.0,3671.0,909.0,104.0,647.0,0.0,2011.0,0.18518518518518517,0.06018518518518518,3671.0,2022-07-01
2022,7,9E,Endeavor Air Inc.,CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",96.0,15.0,8.26,0.73,3.05,0.0,2.96,0.0,0.0,913.0,558.0,27.0,84.0,0.0,244.0,0.15625,0.0,913.0,2022-07-01
2022,7,9E,Endeavor Air Inc.,CLE,"Cleveland, OH: Cleveland-Hopkins International",379.0,64.0,19.79,1.5,14.82,0.0,27.89,33.0,0.0,5613.0,1445.0,392.0,777.0,0.0,2999.0,0.16886543535620052,0.0870712401055409,5613.0,2022-07-01
2022,7,9E,Endeavor Air Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",291.0,67.0,24.81,2.75,23.87,0.0,15.57,28.0,0.0,4614.0,1740.0,276.0,1320.0,0.0,1278.0,0.23024054982817868,0.09621993127147767,4614.0,2022-07-01
2022,7,9E,Endeavor Air Inc.,CMH,"Columbus, OH: John Glenn Columbus International",31.0,5.0,2.01,0.0,2.99,0.0,0.0,0.0,0.0,349.0,164.0,0.0,185.0,0.0,0.0,0.16129032258064516,0.0,349.0,2022-07-01
2022,7,9E,Endeavor Air Inc.,CRW,"Charleston/Dunbar, WV: Yeager",65.0,15.0,4.9,0.01,7.88,0.0,2.2,0.0,1.0,1027.0,381.0,2.0,312.0,0.0,332.0,0.23076923076923078,0.0,1027.0,2022-07-01
2022,7,9E,Endeavor Air Inc.,CSG,"Columbus, GA: Columbus Airport",87.0,12.0,7.06,0.26,2.44,0.0,2.24,0.0,0.0,611.0,431.0,9.0,66.0,0.0,105.0,0.13793103448275862,0.0,611.0,2022-07-01
2022,7,9E,Endeavor Air Inc.,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",555.0,96.0,27.94,2.58,31.23,0.0,34.25,33.0,0.0,7574.0,2371.0,168.0,2201.0,0.0,2834.0,0.17297297297297298,0.05945945945945946,7574.0,2022-07-01
2022,7,9E,Endeavor Air Inc.,CWA,"Mosinee, WI: Central Wisconsin",93.0,8.0,3.02,0.0,1.16,0.93,2.89,0.0,0.0,581.0,149.0,0.0,57.0,116.0,259.0,0.08602150537634409,0.0,581.0,2022-07-01
2022,7,9E,Endeavor Air Inc.,DAY,"Dayton, OH: James M Cox/Dayton International",44.0,8.0,3.36,0.24,3.92,0.0,0.48,0.0,0.0,504.0,127.0,11.0,318.0,0.0,48.0,0.18181818181818182,0.0,504.0,2022-07-01
2022,7,9E,Endeavor Air Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",171.0,32.0,9.28,2.81,17.36,0.0,2.55,13.0,0.0,2403.0,1409.0,174.0,614.0,0.0,206.0,0.1871345029239766,0.07602339181286549,2403.0,2022-07-01
2022,7,9E,Endeavor Air Inc.,DHN,"Dothan, AL: Dothan Regional",87.0,21.0,8.49,2.13,1.04,0.0,9.34,0.0,0.0,2058.0,1121.0,88.0,49.0,0.0,800.0,0.2413793103448276,0.0,2058.0,2022-07-01
2022,7,9E,Endeavor Air Inc.,DLH,"Duluth, MN: Duluth International",31.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,444.0,325.0,0.0,96.0,0.0,23.0,0.0967741935483871,0.0,444.0,2022-07-01
2022,7,9E,Endeavor Air Inc.,DSM,"Des Moines, IA: Des Moines International",202.0,32.0,15.42,0.0,6.25,0.0,10.33,2.0,0.0,2151.0,859.0,0.0,292.0,0.0,1000.0,0.15841584158415842,0.009900990099009901,2151.0,2022-07-01
2022,7,9E,Endeavor Air Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",1392.0,216.0,75.45,8.98,30.41,0.0,101.16,14.0,2.0,19985.0,9908.0,453.0,1128.0,0.0,8496.0,0.15517241379310345,0.010057471264367816,19985.0,2022-07-01
2022,7,9E,Endeavor Air Inc.,EVV,"Evansville, IN: Evansville Regional",36.0,6.0,4.91,0.0,0.54,0.0,0.56,1.0,0.0,339.0,271.0,0.0,20.0,0.0,48.0,0.16666666666666666,0.027777777777777776,339.0,2022-07-01
2022,7,9E,Endeavor Air Inc.,EWR,"Newark, NJ: Newark Liberty International",121.0,14.0,2.76,1.0,9.26,0.0,0.97,19.0,0.0,1353.0,84.0,147.0,980.0,0.0,142.0,0.11570247933884298,0.15702479338842976,1353.0,2022-07-01
